jerman;indonesia
die Durchsage;Pengumuman
dürfen;mungkin
der Durst;rasa haus
(sich) duschen;(mandi
die Dusche;kamar mandi
E;E
die Ecke, -n;sudut-sudutnya
die Ehefrau, -en;Para istri
der Ehemann;suami
das Ei;telur
eilig;buru-buru
ein;A
einfach;secara sederhana
der Eigang;pintu masuk
einkaufen;belanja
einladen;mengundang
die Einladung;undangan
einmal;sekali
einsteigen;masuk
der Entritt;jalan masuk
das Einzelzimmer;kamar single
die Eltern (pl.);orang tua (jamak)
die E-Mail, -s;email-email tersebut
der Empfänger;penerima
empfehlen;menyarankan
enden;berakhir
das Ende;tamat
entschuldigen;mengizinkan
die Entschuldigung;permintaan maaf
er;Dia
sie;dia
es;dia
das Ergebnis, -se;hasilnya, -se
erklären;menjelaskan
erlauben;mengizinkan
der Erwachsene, -n;orang dewasa
erzählen;memberi tahu
essen;makan
das Essen;makanan
euer;milikmu
F;F
fahren;menyetir
der Fahrer;supir
die Fahrkarte, -n;tiket
das Fahrrad, -er;sepedanya, -eh
falsch;salah
die Familie, -n;keluarga
der Familienname;nama keluarga
der Familienstand;status pernikahan
die Farbe, -n;warnanya, -n
das Fax, -e;faks, -e
Feier-;Perayaan-
feiern;merayakan
fehlen;merindukan
der Fehler;kesalahan
fernsehen;televisi
fertig;menyelesaikan
das Feuer;api
das Fieber;demam
der Film, -e;filmnya, -e
finden;menemukan
die Firma;perusahaan
der Fisch, -e;Ikan
die Flasche, -n;botol-botolnya
das Fleisch;daging
fliegen;terbang
abfliegen;berangkat
der Abflug;lepas landas
der Flughafen;Bandara
das Flugzeug;Pesawat
das Formular, -e;bentuk, -e
das Foto, -s;foto
fragen;pertanyaan
die Frage, -n;pertanyaan-pertanyaan
die Frau, -en;Wanita
frei;bebas
die Freizeit;waktu luang
fremd;luar negeri
(sich) freuen;(bersuka cita
der Freund, -e;teman-teman
früher;lebih awal
frühstücken;sarapan
das Frühstück;sarapan
die Führung;kepemimpinan
für;untuk
der Fuß, -e;kaki
der fußball;Sepakbola
G;G
der Garten;Kebun
der Gast, -e;dari para tamu
geben;memberi
geboren;dilahirkan
das Geburtsjahr;tahun kelahiran
der Geburtsort;tempat lahir
der Geburtstag;hari ulang tahun
gefallen;jatuh
gegen;melawan
gehen;pergi
gehören;milik
das Geld;uang
das Gemüse;sayuran
das Gepäck;bagasi
gerade;lurus
geradeaus;lurus kedepan
gern(e);dengan senang hati)
das Geschäft, -e;bisnis
das Geschenk, -e;hadiah
die Geschwister (pl). ;saudara kandung (pl).
das Gespräch, -e;percakapan, -e
gestern;Kemarin
gestorben;mati
das Getränk, -e;minumannya, -e
das Gewicht;beratnya
gewinnen;menang
das Glas;Kaca
glauben;meyakini
gleich;bahkan
das Gleis, -e;trek, -e
das Glück;kebahagiaan
glücklich;senang
der Glückwunsch;ucapan selamat
Grad (celsius);Derajat Celsius)
gratulieren;mengucapkan selamat
grillen;memanggang
groß;besar
die Größe;ukuran
die Großeltern (pl).;kakek-nenek (pl).
die Großmutter;nenek
der Großvater;kakek
die Gruppe, -n;kelompok
der Gruß, -e;salam, -e
gültig;sah
günstig;murah
gut;Bagus
H;H
das Haar, -e;rambut, -e
haben;memiliki
ds Hähnchen;ds ayam
die Halbpension;setengah papan
die Halle;Balai
hallo;Halo
halten;memegang
die Haltestelle;halte bus
die Hand, -e;tangan
das Handy, -s;telepon genggam, -s
das Haus, -er;rumah, -eh
die Hausaufgabe, -n;PR
die Hausfrau, -en;ibu rumah tangga, -en
der Hausmann;pembantu rumah tangga
die Heimat;tanah air
heiraten;nikah
heißen;disebut
helfen;membantu
hell;terang
der Herd;kompor
der Herr, -en;pria itu, -en
herzlich;tulus
heute;Hari ini
hier;Di Sini
die Hilfe;bantuan
hinten;belakang
das Hobby, -s;hobi, -s
hoch;tinggi
die Hochzeit;pernikahan
holen;mengambil
hören;mendengar
das Hotel, -s;hotelnya, -s
der Hund, -e;anjing, -e
der Hunger;kelaparan
I;SAYA
ich ;SAYA
ihr/ihm/ihn;dia/dia/dia
immer;selalu
in;di dalam
die Information, -en;informasi
international;internasional
das Internet;Internet
J;J
Ja;Ya
die Jacke, -n;jaket
jetzt;Sekarang
der Job, -s;pekerjaan
der Jugendliche, -n;pemuda, -n
jung;muda
der Junge, -n;anak laki-laki itu, -n
K;K
der Kaffee;kopi
kaputt;rusak
die Karte, -n;kartu-kartunya
die Kartoffel, -n;kentang
die Kasse;mesin kasir
kaufen;membeli
kein;TIDAK
kennen;tahu
kennenlernen;mencari tahu
das Kind, -er;anak itu, -he
der Kindergarten;taman kanak-kanak
das Kino, -s;bioskop, -s
der Kiosk;kios
klar;jernih
die Klasse;kelas
die Kleidung;pakaian
klein;kecil
kochen;memasak
der Koffer;koper
der Kollege, -n;rekannya, -n
kommen;datang
können;Bisa
das Konto;Akun
der Kopf;kepala
kosten;biaya
krank;sakit
kriegen;mendapatkan
die Küche;dapur
der Kuchen;kue
der Kugelschreiber;pulpen
der Kühlschrank;kulkas
kulturell;kultural
dich kümmern;peduli denganmu
der Kunde, -n;pelanggan, -n
der Kurs, -e;kursus, -e
kurz;pendek
L;L
lachen;tertawa
der Laden, -ä;toko, -ä
das Land, -er;negara, -eh
lang;panjang
lange;panjang
langsam;lambat
laufen;berlari
laut;keras
leben;kehidupan
die Lebensmittel (pl.);makanan (jamak)
ledig;lajang
legen;tempat
der Lehrer;guru
leicht;lampu
leider;Sayangnya
leise;diam
lernen;mempelajari
letzt-;terakhir-
die Leute (pl.);orang-orang (jamak)
das Licht;cahaya
lieb-;Sayang-
lieben;Cinta
lieber;Sayang
Lieblings-;Favorit-
das Lied, -er;lagunya, -er
liegen;berbaring
links;Kiri
der Lkw, -s;truk, -s
das Lokal;lingkungan setempat
die Lösung, -en;solusinya
lustig;lucu
M;M
machen;membuat
das Mädchen;gadis itu
der Mann, -er;pria itu, -dia
männlich;maskulin
die Maschine, -n;Mesin-mesin
das Meer;laut
mehr;lagi
mein;-ku
meist;sebagian besar waktu
der Mensch, -en;manusia
mieten;menyewa
die Miete;sewa
die Milch;susu
mit;dengan
mitbringen;bawa
mitkommen;ikutlah
mitmachen;ikut
mitnehmen;membawa serta
die Mitte;Tengah
die Möbel (pl.);perabotan
möchten;ingin
mögen;menyukai
möglich;mungkin
der Moment;saat ini
morgen;Pagi
müde;lelah
der Mund;mulut
müssen;harus
die Mutter;ibu
N;N
nach;setelah
nächst;Berikutnya
der Name, -n;nama
nehmen;mengambil
nein;TIDAK
neu;baru
nicht;bukan
nichts;Tidak ada apa-apa
nie;tidak pernah
noch;tetap
normal;normal
die Nummer, -n;angka-angka
nur;hanya
O;HAI
oben;di atas
das Obst;buah
oder;atau
öffnen;membuka
geöffnet;membuka
oft;sering
ohne;tanpa
das Öl;minyak
die Oma, -s;Para nenek
der Opa, -s;kakek, -s
die Ordnung;pesanan
der Ort, -e;tempatnya, -e
P;P
das Papier;kertas
die Papiere (pl.);kertas - kertas
der Partner;mitra
die Partnerin, -nen;pasangannya, -nen
die Party;pesta
der Pass;paspor
die Pause, -n;istirahat, -n
der Plan, -e;pesawat
der Platz, -e;tempatnya, -e
die Polizei;polisi
die Pommes frites (pl.);kentang goreng (jamak)
die Post;postingan tersebut
die Postleitzahl;kode area
das Praktikum;magang
die Praxis;Latihan
der Preis, -e;harga
das Problem, -e;masalahnya, -e
der Prospekt, -e;prospektus, -e
die Prüfung;ujian
pünktlich;tepat waktu
R;R
Rad fahren;mengendarai sepeda
rauchen;merokok
der Raum, -ä, e;spasi, -ä, e
die Rechnung, -en;tagihannya, -en
rechts;Kanan
regnen;hujan
der Regen;hujan
der Reis;nasi
reisen;bepergian
die Reise;perjalanan
das Reisebüro, -s;biro perjalanan, -s
der Reiseführer;Petunjuk
reparieren;memperbaiki
die Reparatur;perbaikannya
das Restaurant, -s;restoran-restoran
die Rezeption;resepsi
richtig;benar
riechen;bau
ruhig;diam
S;S
der Saft;jus
sagen;mengatakan
der Salat;salad
das Salz;garam
Satz, -ä, e;Kalimat, -ä, e
die S-Bahn;S-Bahn
der Schalter;meja
scheinen;terlihat
schicken;mengirim
das Schild, -er;tanda-tanda
der Shinken;Shinken
schlafen;tidur
schlecht;buruk
schließen;menutup
geschlossen;tertutup
der Schluss;tamat
der Schlüssel;kunci
schmecken;rasanya enak
schnell;cepat
schon;sudah
schön;Bagus
der Schrank, -ä, e;lemari, -ä, e
schreiben;menulis
der Schuh, -e;sepatu, -e
die Schule;sekolah
der Schüler;siswa
schwer;sulit
die Schwester, -n;saudara perempuan
schwimmen;berenang
das Schwimmbad;kolam
der See;Danau
sehen;melihat
die Sehenswürdigkeit, -en;pemandangan itu, -en
sehr;sangat
sein ;menjadi
an sein;aktif
auf sein;untuk bangun
weg sein;pergi menjauh
zu sein;menjadi
seit;sejak
selbstständig;Wiraswasta
sich;diri
sie;dia
Sie;Dia
sitzen;duduk
so;Jadi
das Sofa;sofa
sofort;langsung
der Sohn, -ö, e;anak laki-laki, -ö, e
sollen;sebaiknya
die Sonne;matahari
spät;terlambat
später;Nanti
die Speisekarte;menu
spielen;bermain
der Sport;olahraga
die Sprache, -n;bahasa
sprechen;berbicara
die Stadt, -ä, e;kota, -ä, e
stehen;berdiri
die Stelle, -n;tempatnya, -n
stellen;tempat
der Stock;tongkat
die Straße, -n;jalanan
die Straßenbahn;Trem
studieren;belajar
das Studium;pembelajaran
der Student, -en;dari para siswa
die Stunde, -n;jam
suchen;mencari
T;T
tanzen;menari
die Tasche, -n;tas
das Taxi, -s;taksi, -s
der Tee;Teh
der Teil, -e;Dari bagian-bagiannya
telefonieren;membuat panggilan telepon
das Telefon;teleponnya
der Termin, -e;penunjukan, -e
der Test;ujian
teuer;mahal
der Text, -e;teks, -e
das Thema;topik
das Ticket, -s;tiket
der Tisch, -e;meja
die Tochter;anak perempuan
die Toilette, -en;toilet, -id
die Tomate, -n;tomat
tot;mati
(sich) treffen;(bertemu
die Treppe, -n;tangga
trinken;minum
tschüss;selamat tinggal
tun;Mengerjakan
U;kamu
über;di atas
übernachten;menginap
überweisen;transfer
die Uhr;jam
um;sekitar
umziehen;bergerak
und;Dan
unser;kita
unten;di bawah
unter;di bawah
der Unterricht;pelajaran
unterschreiben;tanda
die Unterschrift;tanda tangan
der urlaub;liburan
V;V
der Vater, -ä;ayah, -ä
verboten;terlarang
verdienen;menghasilkan
der Verein;Persatuan
verheiratet;telah menikah
verkaufen;menjual
der Verein;Persatuan
verheiratet;telah menikah
verkaufen;menjual
der Verkäufer;penjual
vermieten;menyewa
der Vermieter;tuan tanah
verstehen;memahami
der Verwandte, -n;Dari kerabat
viel;banyak
vielleicht;mungkin
von;dari
vor;sebelum
der Vorname, -n;nama depan, -n
Vorsicht;Peringatan
(sich) vorstellen;(membayangkan
die Vorwahl;Kode
W;W
wandern;kenaikan
wann;Kapan
warten;Tunggu
warum;Mengapa
was;Apa
was für ein;apa sebuah
(sich) waschen;(untuk mencuci diri sendiri
das Wasser;air
weh tun;terluka
weiblich;perempuan
der Wein;anggur
weit;jauh
weiter;lebih jauh
welch-;yang-
die Welt;Dunia
wenig;sedikit
wer;WHO
werden;menjadi
das Wetter;cuaca
wichtig;penting
wie;Bagaimana
wiederholen;mengulang
das Wiederhören;sidang ulang
das Wiedersehen;Reuni
wie viel;berapa harganya
willkommen;selamat datang
der Wind;angin
wir;Kami
wissen;pengetahuan
wo;Di mana
woher;dari mana
wohin;Di mana
woher;dari mana
wohin;Di mana
wohnen;tinggal
die Wohnung, -en;flat
wollen;ingin
das Wort, -ö, er/-e;kata, -ö, dia/-e
wunderbar;luar biasa
Z;Z
zahlen;membayar
die Zeit;waktu
zurzeit;saat ini
die Zeitung, -en;Koran
die Zigarette, -n;rokok
das Zimmer;ruangan
der Zoll;adat istiadat
zu;ke
zufrieden;puas
der Zug, -ü, e;kereta api, -ü, e
zurück;kembali
zusammen;bersama
zwischen;di antara
